styleid,comment,unioncnt,seperate,attach_comp_group,attach_dir,attach_target,attach_offset,height,depth,circlemode,diameter,maxlength,symmin,symmax,inter_mode,fix_intervalue,lower,embed,homo,repeat,concent,rotate,offset,alignH,alignV,chainid,rotate_showall,offset_showall,chainid_showall,model_showall,fontname,fontfile,cam_target,cam_offset,cam_zoom
ring7,戒指款式1,1,no,,,,,5.4,1.5,A,0,,2,15,even,,no,yes,yes,yes,yes,0/90/0,0/-2.5/0,no,no,,0/-90/0,,,Exhibit_Ring_001.obj,,,main,,
neck7,项链款式1,1,no,,,,,5.2,2,A,8,,2,8,even,,no,yes,yes,yes,yes,0/90/90,0/-2.5/0,no,no,2d/2a/2b/2e/2f/2g,0/-90/0,0/1.2/-11.89,102d/102a/102b/102e/102f/102g,Exhibit_Neck_001.obj,,,main,,
neck8,项链竖立,1,no,,,,,6,1.5,no,,35,2,8,even,,no,yes,yes,yes,yes,0/90/-90,-0.4/0/2.8,no,no,1d/1a/1b/1e/1f/1g,0/-90/25,0/1.276/-17,101d/101a/101b/101e/101f/101g,Exhibit_Neck_001.obj,,,main,,
neck9,项链双环,1,no,,,,,4.9,1.5,B,21.5,,2,15,circle,,no,yes,yes,yes,yes,0/90/0,0/-18.5/0,no,no,1d/1a/1b/1e/1f/1g,0/-90/24,0/1.5/-17,101d/101a/101b/101e/101f/101g,Exhibit_Neck_001.obj,,,main,,
ear1,耳钉,1,no,,,,,3.8,1.5,C,9,18,1,8,even,,no,yes,yes,yes,yes,-36/90/-90,0/-1.7/0,no,no,,0/-90/0,3/4.5/0,,Exhibit_Earring_001.obj,,,main,,
brace7,手镯,1,no,,,,,5.4,1.6,D,56,82,2,20,even,,no,yes,yes,yes,yes,0/90/0,0/-2.7/0,no,no,,0/-90/0,,,Exhibit_Bangle_001.obj,,,main,,
neck101,中文猫咪吊坠,1,no,,,,,9,1.8,no,,,1,1,even,,no,,,,,0/90/0,-0.7/0/0,center,center,0d/0a/0b/0e/0f/0g,0/90/0,,,Exhibit_Neck_001.obj,,,main,,
neck10,满集项链A,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/0/0,no,no,1d/1a/1b/1e/1f/1g,0/-90/23,0/1.276/-17,101d/101a/101b/101e/101f/101g,Exhibit_Neck_001.obj,Khadija2,./fonts/Zapfino2.ttf,main,,
neck11,满集项链B,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/0/0,no,no,2d/2a/2b/2e/2f/2g,0/-90/0,0/1.8/-11,102d/102a/102b/102e/102f/102g,Exhibit_Neck_001.obj,Khadija2,./fonts/Zapfino2.ttf,main,,
ear2,满集耳饰A,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/0/0,no,no,,0/-90/0,3/4.5/0,,Exhibit_Earring_001.obj,Khadija2,./fonts/Zapfino2.ttf,main,,
ear3,满集耳饰B,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/0/0,no,no,,0/-90/0,3/4.5/-3,,Exhibit_Earring_001.obj,Khadija2,./fonts/Zapfino2.ttf,main,,
ear4,满集耳饰C,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/0/0,no,no,,0/-90/0,3/4.5/1.5,,Exhibit_Earring_001.obj,Khadija2,./fonts/Zapfino2.ttf,main,,
ear5,满集耳饰D,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/0/0,no,no,,0/-90/0,3/3.5/1.5,,Exhibit_Earring_001.obj,Khadija2,./fonts/Zapfino2.ttf,main,,
ear6,满集耳饰E,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/0/0,no,no,,0/-90/0,3/3.5/1.5,,Exhibit_Earring_001.obj,Khadija2,./fonts/Zapfino2.ttf,main,,
ring8,满集戒指A,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/-2.5/0,no,no,,0/-90/0,,,Exhibit_Ring_001.obj,,,main,,
brace8,满集手镯A,1,no,,,,,0,0,no,0,,1,20,even,,no,,,,,0/90/0,0/-2.7/0,no,no,,0/-90/0,,,Exhibit_Bangle_001.obj,,,main,,
ear7,LCT耳饰,2,no,circle|circle,down,extra,-0.2/0/0.4,5,1.5,no,0,50,1,12,no,-0.5,no,yes,yes,yes,yes,0/180/-90,2.5/0/0,no,no,,0/-90/25,,,Exhibit_Earring_001.obj,,,extra,0/-20/0,1.5